"id","fiscal_year","fiscal_quarter","filing_type","period_end_date","net_sales_mm","cost_of_goods_mm","gross_margin_mm","operating_income_mm","net_income_mm","diluted_earn_per_share","compare_sales_pct","store_count","selling_sqft_mm","capex_mm","inventory_mm","employee_count","gross_margin_pct","operating_margin_pct","net_margin_pct","revenue_per_store_mm","revenue_per_sqft","inventory_turnover","capex_intensity_pct","revenue_per_employee_k","source_url"
1,2023,"FY","10-K","2024-02-02",86377.0,57533.0,28844.0,11557.0,7726.0,13.2,-4.7,1746,195.0,1964.0,16894.0,307000,33.39,13.38,8.94,49.47,442.96,3.41,2.27,281.4,"https://corporate.lowes.com/sites/lowes-corp/files/2024-02/q4-2023-financial-statements.pdf"
2,2023,"Q1","8-K","2024-02-04",22347.0,14820.0,7527.0,3288.0,2260.0,3.77,-4.3,1700,194.9,380.0,0.0,0,33.68,14.71,10.11,13.15,114.66,0.0,1.7,0.0,""
3,2023,"Q2","8-K","2024-05-06",24956.0,16557.0,8399.0,3886.0,2673.0,4.56,-1.6,1700,194.9,765.0,0.0,0,33.66,15.57,10.71,14.68,128.05,0.0,3.07,0.0,""
4,2023,"Q3","8-K","2024-08-05",20471.0,13580.0,6891.0,2696.0,1773.0,3.06,-7.4,1746,194.9,1344.0,0.0,0,33.66,13.17,8.66,11.72,105.03,0.0,6.57,0.0,""
5,2023,"Q4","8-K","2024-11-04",18602.0,12576.0,6026.0,1687.0,1020.0,1.77,-6.2,1746,194.9,0.0,0.0,0,32.39,9.07,5.48,10.65,95.44,0.0,0.0,0.0,"https://www.sec.gov/Archives/edgar/data/0000060667/000006066724000012/exhibit991-02022024.htm"
6,2024,"FY","10-K","2025-01-31",83674.0,55797.0,27877.0,10466.0,6957.0,12.23,-2.7,1748,195.0,1927.0,17409.0,284000,33.32,12.51,8.31,47.87,429.1,3.21,2.3,294.6,"https://www.sec.gov/Archives/edgar/data/60667/000006066725000049/low-20250131.htm"
7,2024,"Q1","8-K","2024-02-03",21364.0,14274.0,7090.0,2653.0,1755.0,3.06,-4.1,1736,194.9,382.0,0.0,0,33.19,12.42,8.21,12.31,109.62,0.0,1.79,0.0,"https://www.sec.gov/Archives/edgar/data/0000060667/000006066724000081/exhibit991-05032024.htm"
8,2024,"Q2","8-K","2024-05-04",23586.0,15691.0,7895.0,3447.0,2383.0,4.17,-5.1,1746,194.9,808.0,0.0,0,33.47,14.61,10.1,13.51,121.02,0.0,3.43,0.0,""
9,2024,"Q3","8-K","2024-08-03",20170.0,13374.0,6796.0,2536.0,1695.0,2.99,-1.1,1747,195.0,1379.0,0.0,0,33.69,12.57,8.4,11.55,103.44,0.0,6.84,0.0,""
10,2024,"Q4","8-K","2024-11-02",18553.0,12456.0,6097.0,1830.0,1125.0,1.99,0.2,1748,195.0,1927.0,0.0,0,32.86,9.86,6.06,10.61,95.14,0.0,10.39,0.0,"https://www.sec.gov/Archives/edgar/data/0000060667/000006066725000018/exhibit991-01312025.htm"
11,2025,"FY","10-K","2026-01-30",86286.0,57401.0,28885.0,10153.0,6654.0,11.85,0.2,1759,196.0,2213.0,17300.0,270000,33.48,11.77,7.71,49.05,440.23,3.32,2.56,319.6,"https://www.sec.gov/Archives/edgar/data/60667/000006066726000029/0000060667-26-000029-index.htm"
12,2025,"Q1","8-K","2025-02-01",20930.0,13944.0,6986.0,2494.0,1641.0,2.92,-1.7,1750,195.3,518.0,0.0,0,33.38,11.92,7.84,11.96,107.17,0.0,2.47,0.0,"https://www.sec.gov/Archives/edgar/data/0000060667/000006066725000091/exhibit991-05022025.htm"
13,2025,"Q2","8-K","2025-05-03",23959.0,15858.0,8101.0,3474.0,2399.0,4.27,1.1,1753,195.5,1013.0,0.0,0,33.81,14.5,10.01,13.67,122.55,0.0,4.23,0.0,"https://www.sec.gov/Archives/edgar/data/0000060667/000006066725000161/exhibit991-08012025.htm"
14,2025,"Q3","8-K","2025-08-03",20813.0,13697.0,7116.0,2477.0,1615.0,2.88,0.4,1756,195.8,1610.0,0.0,0,34.19,11.9,7.76,11.85,106.3,0.0,7.74,0.0,"https://www.sec.gov/Archives/edgar/data/0000060667/000006066725000203/exhibit991-10312025.htm"
15,2025,"Q4","8-K","2025-11-01",20584.0,13903.0,6681.0,1708.0,999.0,1.78,1.3,1759,196.0,2213.0,0.0,0,32.46,8.3,4.85,11.7,105.02,0.0,10.75,0.0,"https://www.sec.gov/Archives/edgar/data/0000060667/000006066726000020/exhibit991-01302026.htm"
