"id","store_number","store_name","store_address","city","state_code","zip_code","latitude","longitude","overall_rating","review_count","rating_tier","volume_tier","nc_region"
1,"1529","Lowe's Home Improvement","820 Nc 24-27 Bypass East","Albemarle","NC","28001",35.345365,-80.165731,4.2,1594,"Average","Medium Volume","Charlotte Metro"
2,"1878","Lowe's Home Improvement","1101 Beaver Creek Commons Dr","Apex","NC","27502",35.7456,-78.8771,4.2,1899,"Average","Medium Volume","Triangle"
3,"2201","Lowe's Home Improvement","19 McKenna Rd","Arden","NC","28704",35.448986,-82.538057,4.1,1709,"Average","Medium Volume","Mountains / Asheville"
4,"0449","Lowe's Home Improvement","1120 E Dixie Dr","Asheboro","NC","27203",35.6903,-79.8042,4.2,2242,"Average","Medium Volume","Triad"
5,"3617","Lowe's Home Improvement","89 S Tunnel Rd","Asheville","NC","28805",35.577878,-82.523003,4.0,1803,"Average","Medium Volume","Mountains / Asheville"
6,"0526","Lowe's Home Improvement","95 Smokey Park Hwy","Asheville","NC","28806",35.569721,-82.627287,3.9,1824,"Below Average","Medium Volume","Mountains / Asheville"
7,"1834","Lowe's Home Improvement","2014 Tynecastle Hwy","Banner Elk","NC","28604",36.142152,-81.860644,4.2,807,"Average","Low Volume","Foothills / High Country"
8,"2650","Lowe's Home Improvement","200 Caldwell Farm Rd","Belmont","NC","28012",35.254512,-81.037482,4.2,2070,"Average","Medium Volume","Charlotte Metro"
9,"1522","Lowe's Home Improvement","1855 Blowing Rock Rd","Boone","NC","28607",36.200116,-81.656138,4.2,1210,"Average","Low Volume","Foothills / High Country"
10,"1990","Lowe's Home Improvement","119 Ecusta Rd","Brevard","NC","28712",35.272342,-82.703252,4.1,977,"Average","Low Volume","Mountains / Asheville"
11,"0508","Lowe's Home Improvement","125 Huffman Mill Rd","Burlington","NC","27215",36.079482,-79.483375,4.2,2404,"Average","Medium Volume","Triangle"
12,"2436","Lowe's Home Improvement","401 W B McLean Dr","Cape Carteret","NC","28584",34.691013,-77.067177,4.2,1397,"Average","Low Volume","Coastal"
13,"1835","Lowe's Home Improvement","1920 NW Maynard Rd","Cary","NC","27513",35.798291,-78.793692,4.2,2016,"Average","Medium Volume","Triangle"
14,"0426","Lowe's Home Improvement","2000 Walnut St","Cary","NC","27518",35.757061,-78.742781,4.1,2018,"Average","Medium Volume","Triangle"
15,"0487","Lowe's Home Improvement","1801 Fordham Blvd","Chapel Hill","NC","27514",35.94773,-79.012514,4.0,1570,"Average","Medium Volume","Triangle"
16,"2348","Lowe's Home Improvement","217 Iverson Way","Charlotte","NC","28203",35.206034,-80.861378,4.1,2246,"Average","Medium Volume","Charlotte Metro"
17,"0408","Lowe's Home Improvement","1100 Chancellor Park Dr","Charlotte","NC","28213",35.292022,-80.74251,4.1,2179,"Average","Medium Volume","Charlotte Metro"
18,"1112","Lowe's Home Improvement","5310 Ballantyne Commons Pkwy","Charlotte","NC","28277",35.065709,-80.772383,4.2,977,"Average","Low Volume","Charlotte Metro"
19,"2352","Lowe's Home Improvement","10275 Perimeter Pkwy","Charlotte","NC","28216",35.345945,-80.855859,4.2,2403,"Average","Medium Volume","Charlotte Metro"
20,"1920","Lowe's Home Improvement","8826 Albemarle Rd","Charlotte","NC","28227",35.20879,-80.696686,4.2,1816,"Average","Medium Volume","Charlotte Metro"
21,"1060","Lowe's Home Improvement","8192 S Tryon St","Charlotte","NC","28273",35.145672,-80.931976,4.1,1654,"Average","Medium Volume","Charlotte Metro"
22,"0377","Lowe's Home Improvement","10625 McMullen Creek Pkwy","Charlotte","NC","28226",35.090441,-80.855809,4.1,1569,"Average","Medium Volume","Charlotte Metro"
23,"1689","Lowe's Home Improvement","911 Sunset Ave","Clinton","NC","28328",34.993665,-78.33988,4.1,1227,"Average","Low Volume","Sandhills / Fayetteville"
24,"0697","Lowe's Home Improvement","940 Concord Parkway North","Concord","NC","28027",35.439907,-80.613503,4.2,2228,"Average","Medium Volume","Charlotte Metro"
25,"2981","Lowe's Home Improvement","8670 Concord Mills Blvd","Concord","NC","28027",35.375679,-80.728931,4.2,2184,"Average","Medium Volume","Charlotte Metro"
26,"2636","Lowe's Home Improvement","7144 NC-73","Denver","NC","28037",35.448575,-81.004577,4.2,1627,"Average","Medium Volume","Charlotte Metro"
27,"2778","Lowe's Home Improvement","4402 Fayetteville Rd","Durham","NC","27713",35.940909,-78.907787,4.1,2030,"Average","Medium Volume","Triangle"
28,"0576","Lowe's Home Improvement","117 William Penn Plaza","Durham","NC","27704",36.044846,-78.89975,4.0,2217,"Average","Medium Volume","Triangle"
