id,source,store_number,city,store_address,store_name,state_code,zip_code,latitude,longitude,overall_rating,review_count,scraped_at
1,google,1529,Albemarle,820 Nc 24-27 Bypass East,Lowe's Home Improvement,NC,28001,35.345365,-80.165731,4.2,1594,3/25/26
2,google,1878,Apex,1101 Beaver Creek Commons Dr,Lowe's Home Improvement,NC,27502,35.7456,-78.8771,4.2,1899,3/25/26
3,google,2201,Arden,19 McKenna Rd,Lowe's Home Improvement,NC,28704,35.448986,-82.538057,4.1,1709,3/25/26
4,google,0449,Asheboro,1120 E Dixie Dr,Lowe's Home Improvement,NC,27203,35.6903,-79.8042,4.2,2242,3/25/26
5,google,3617,Asheville,89 S Tunnel Rd,Lowe's Home Improvement,NC,28805,35.577878,-82.523003,4,1803,3/25/26
6,google,0526,Asheville,95 Smokey Park Hwy,Lowe's Home Improvement,NC,28806,35.569721,-82.627287,3.9,1824,3/25/26
7,google,1834,Banner Elk,2014 Tynecastle Hwy,Lowe's Home Improvement,NC,28604,36.142152,-81.860644,4.2,807,3/25/26
8,google,2650,Belmont,200 Caldwell Farm Rd,Lowe's Home Improvement,NC,28012,35.254512,-81.037482,4.2,2070,3/25/26
9,google,1522,Boone,1855 Blowing Rock Rd,Lowe's Home Improvement,NC,28607,36.200116,-81.656138,4.2,1210,3/25/26
10,google,1990,Brevard,119 Ecusta Rd,Lowe's Home Improvement,NC,28712,35.272342,-82.703252,4.1,977,3/25/26
11,google,0508,Burlington,125 Huffman Mill Rd,Lowe's Home Improvement,NC,27215,36.079482,-79.483375,4.2,2404,3/25/26
12,google,2436,Cape Carteret,401 W B McLean Dr,Lowe's Home Improvement,NC,28584,34.691013,-77.067177,4.2,1397,3/25/26
13,google,1835,Cary,1920 NW Maynard Rd,Lowe's Home Improvement,NC,27513,35.798291,-78.793692,4.2,2016,3/25/26
14,google,0426,Cary,2000 Walnut St,Lowe's Home Improvement,NC,27518,35.757061,-78.742781,4.1,2018,3/25/26
